,complex_id,complex_nm_old,complex_nm,trains_old,trains,station_ct,bcode,stop_lat,stop_lon,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy07,avwkdy08,avwkdy09,avwkdy10,avwkdy11,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,avwken07,avwken08,avwken09,avwken10,avwken11,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18,srv_notes,unique_id
10,bx011,182-183 Sts,182-183 Sts,B D,B D,1.0,36005.0,40.856093,-73.900741,1592710.0,1561529.0,1506398.0,1495831.0,1489026.0,1447028.0,1520856.0,1604218.0,1643266.0,1682092.0,1577144.0,1502814.0,4898.0,4747.0,4612.0,4550.0,4546.0,4507.0,4554.0,4813.0,5020.0,5177.0,4990.0,4752.0,6323.0,6363.0,6049.0,6158.0,6135.0,5807.0,6617.0,6939.0,6660.0,6574.0,5623.0,5347.0,,182-183 Sts_1520856.0
11,bx012,183 St,183 St,4,4,1.0,36005.0,40.858407,-73.903879,1073820.0,1864350.0,1913656.0,1945021.0,1978737.0,1997038.0,2002633.0,2007140.0,2057944.0,2071316.0,2001410.0,1831457.0,3371.0,5890.0,5954.0,6071.0,6162.0,6319.0,6360.0,6356.0,6372.0,6443.0,6271.0,5754.0,3905.0,6531.0,7231.0,7281.0,7591.0,7588.0,6967.0,7056.0,7944.0,7786.0,7426.0,6696.0,x,183 St_2002633.0
12,bx013,219 St,219 St,2 5,2 5,1.0,36005.0,40.883895,-73.862633,854553.0,926893.0,957529.0,1024424.0,1032343.0,1063058.0,1099491.0,1124522.0,1108859.0,1049128.0,1044200.0,1026894.0,2727.0,2982.0,3049.0,3261.0,3337.0,3413.0,3483.0,3544.0,3529.0,3423.0,3439.0,3335.0,2937.0,2992.0,3288.0,3545.0,3367.0,3827.0,3889.0,4056.0,3837.0,3200.0,3091.0,3248.0,,219 St_1099491.0
13,bx014,225 St,225 St,2 5,2 5,1.0,36005.0,40.888022,-73.860341,1095409.0,1173697.0,1191808.0,1283398.0,1336790.0,1382626.0,1400377.0,1445591.0,1439495.0,1365544.0,1323910.0,1224369.0,3493.0,3798.0,3841.0,4104.0,4346.0,4469.0,4479.0,4593.0,4591.0,4408.0,4340.0,3961.0,3767.0,3688.0,3883.0,4359.0,4246.0,4838.0,4754.0,5043.0,4935.0,4403.0,4003.0,3936.0,,225 St_1400377.0
14,bx015,231 St,231 St,1,1,1.0,36005.0,40.878856,-73.904834,2531151.0,2752351.0,2669185.0,2660882.0,2731068.0,2829503.0,2757855.0,2912283.0,2966015.0,3013521.0,3013031.0,3133231.0,8095.0,8670.0,8428.0,8680.0,9170.0,9187.0,8951.0,9372.0,9596.0,9749.0,9774.0,10287.0,8599.0,9821.0,9519.0,8160.0,7274.0,9704.0,8676.0,9568.0,9480.0,9561.0,9760.0,9499.0,,231 St_2757855.0
15,bx016,233 St,233 St,2 5,2 5,1.0,36005.0,40.893193,-73.857473,1375404.0,1485276.0,1508683.0,1614436.0,1655372.0,1674406.0,1719181.0,1803693.0,1762923.0,1688487.0,1565455.0,1496673.0,4437.0,4834.0,4870.0,5179.0,5379.0,5388.0,5473.0,5701.0,5632.0,5438.0,5138.0,4864.0,4503.0,4549.0,4886.0,5416.0,5277.0,5971.0,5956.0,6434.0,6007.0,5501.0,4707.0,4720.0,,233 St_1719181.0
16,bx017,238 St,238 St,1,1,1.0,36005.0,40.884667,-73.90087,1097387.0,1164038.0,1094292.0,1067352.0,902601.0,1106353.0,1092492.0,1209623.0,1240616.0,1327862.0,1335877.0,960970.0,3551.0,3681.0,3492.0,3514.0,3019.0,3612.0,3598.0,3934.0,4068.0,4350.0,4370.0,3225.0,3545.0,4095.0,3743.0,3134.0,2477.0,3716.0,3199.0,3801.0,3719.0,3977.0,4174.0,2578.0,x,238 St_1092492.0
17,bx018,3 Av-138 St,3 Av-138 St,6,6,1.0,36005.0,40.810476,-73.926138,2023274.0,2159647.0,2222695.0,2190627.0,2280268.0,2304717.0,2443326.0,2534036.0,2531974.0,2509085.0,2515479.0,2451972.0,6447.0,6878.0,6894.0,6985.0,7238.0,7326.0,7667.0,7951.0,7994.0,8008.0,8114.0,7801.0,7020.0,7362.0,8621.0,7575.0,8134.0,8670.0,9026.0,9364.0,9113.0,8543.0,8331.0,8591.0,,3 Av-138 St_2443326.0
18,bx019,3 Av-149 St,3 Av-149 St,2 5,2 5,1.0,36005.0,40.816109,-73.917757,7095262.0,7393330.0,7411343.0,7239167.0,7232070.0,7525904.0,7310115.0,7763151.0,7363663.0,7609968.0,7458222.0,6784053.0,22824.0,23859.0,24096.0,23955.0,24022.0,24580.0,24001.0,25161.0,24813.0,24808.0,24228.0,22357.0,23628.0,23744.0,23330.0,21053.0,20811.0,25356.0,21890.0,24819.0,19003.0,23393.0,23901.0,19975.0,,3 Av-149 St_7310115.0
19,bx020,Allerton Av,Allerton Av,2 5,2 5,1.0,36005.0,40.865462,-73.867352,1574252.0,1625023.0,1661132.0,1668896.0,1602390.0,1689145.0,1747352.0,1829712.0,1821628.0,1733740.0,1678247.0,1603702.0,4958.0,5179.0,5258.0,5282.0,5193.0,5389.0,5526.0,5737.0,5779.0,5530.0,5403.0,5144.0,5718.0,5491.0,5865.0,5932.0,5164.0,6242.0,6231.0,6741.0,6388.0,5889.0,5559.0,5379.0,,Allerton Av_1747352.0
20,bx021,Baychester Av,Baychester Av,5,5,1.0,36005.0,40.878663,-73.838591,1112821.0,1168224.0,1045547.0,1087618.0,1106959.0,1161075.0,1234050.0,1186372.0,1137693.0,1112259.0,1054373.0,1006343.0,3743.0,3924.0,3634.0,3706.0,3840.0,3980.0,4177.0,4196.0,4090.0,4064.0,3846.0,3551.0,2931.0,3022.0,2148.0,2630.0,2368.0,3032.0,3111.0,2132.0,1683.0,1343.0,1402.0,1840.0,,Baychester Av_1234050.0
21,bx022,Bedford Park Blvd,Bedford Park Blvd,B D,B D,1.0,36005.0,40.873244,-73.887138,1928566.0,1989894.0,1932709.0,1885231.0,1914096.0,1929623.0,2040887.0,2136860.0,2196065.0,2240256.0,2220298.0,1984267.0,6214.0,6317.0,6054.0,6037.0,6150.0,6183.0,6303.0,6645.0,7046.0,7236.0,7066.0,6419.0,6373.0,6911.0,7226.0,6417.0,6478.0,7039.0,8072.0,8213.0,7377.0,7234.0,7819.0,6428.0,,Bedford Park Blvd_2040887.0
22,bx023,Bedford Park Blvd-Lehman College,Bedford Park Blvd-Lehman College,4,4,1.0,36005.0,40.873412,-73.890064,1614531.0,1719816.0,1735029.0,1786305.0,1835965.0,1796392.0,1853706.0,1827260.0,1863892.0,1812036.0,1716853.0,1575555.0,5359.0,5519.0,5701.0,5897.0,6052.0,6034.0,6201.0,6089.0,6040.0,5912.0,5649.0,5170.0,4594.0,5753.0,5252.0,5333.0,5545.0,5303.0,5062.0,5093.0,6026.0,5618.0,5200.0,4793.0,,Bedford Park Blvd-Lehman College_1853706.0
23,bx024,Bronx Park East,Bronx Park East,2 5,2 5,1.0,36005.0,40.848828,-73.868457,856682.0,880102.0,865492.0,888162.0,826356.0,860554.0,914831.0,933109.0,877311.0,841547.0,799927.0,752916.0,2768.0,2897.0,2834.0,2888.0,2757.0,2811.0,2959.0,3005.0,2868.0,2785.0,2676.0,2498.0,2785.0,2547.0,2611.0,2807.0,2285.0,2880.0,2953.0,3063.0,2679.0,2391.0,2184.0,2139.0,,Bronx Park East_914831.0
24,bx025,Brook Av,Brook Av,6,6,1.0,36005.0,40.807566,-73.91924,1825026.0,1915123.0,1800008.0,1902909.0,1950893.0,1901192.0,1970010.0,2002825.0,1981721.0,1964831.0,1938814.0,1895570.0,5618.0,5877.0,5790.0,5874.0,6073.0,6113.0,6186.0,6312.0,6244.0,6226.0,6118.0,6040.0,7221.0,7542.0,5844.0,7437.0,7487.0,6742.0,7191.0,7198.0,7126.0,6850.0,7009.0,6536.0,,Brook Av_1970010.0
25,bx026,Buhre Av,Buhre Av,6,6,1.0,36005.0,40.84681,-73.832569,824727.0,888854.0,883232.0,895193.0,991171.0,1008640.0,1111659.0,637600.0,661527.0,1048776.0,1094122.0,1110307.0,2795.0,2975.0,2980.0,3011.0,3315.0,3418.0,3718.0,2155.0,2237.0,3568.0,3701.0,3744.0,2086.0,2360.0,2267.0,2364.0,2742.0,2837.0,3038.0,1614.0,1672.0,2540.0,2837.0,2897.0,x,Buhre Av_1111659.0
26,bx027,Burke Av,Burke Av,2 5,2 5,1.0,36005.0,40.871356,-73.867164,1019924.0,1047965.0,1047238.0,1060008.0,1036169.0,1086792.0,1133298.0,1158787.0,1139826.0,1099582.0,1064119.0,997617.0,3252.0,3380.0,3367.0,3392.0,3387.0,3491.0,3612.0,3672.0,3644.0,3550.0,3466.0,3234.0,3517.0,3346.0,3445.0,3589.0,3195.0,3900.0,3902.0,4090.0,3866.0,3531.0,3330.0,3182.0,,Burke Av_1133298.0
27,bx028,Burnside Av,Burnside Av,4,4,1.0,36005.0,40.853453,-73.907684,3182286.0,3241959.0,3408080.0,3533604.0,3528312.0,3508076.0,3560191.0,3558297.0,3641720.0,3617308.0,3442348.0,3198218.0,10135.0,10433.0,10909.0,11232.0,11243.0,11387.0,11560.0,11538.0,11551.0,11479.0,11079.0,10231.0,11075.0,10520.0,11542.0,12466.0,12390.0,12070.0,11259.0,11310.0,12829.0,12611.0,11472.0,10885.0,,Burnside Av_3560191.0
